timestamp,number,gas_used,gas_limit,base_fee_per_gas
2023-03-21 00:00:11 UTC,16872313,29872569,30000000,14709149536
2023-03-21 00:00:23 UTC,16872314,13937940,30000000,16532173214
2023-03-21 00:00:35 UTC,16872315,19559490,30000000,16385855215
2023-03-21 00:00:47 UTC,16872316,13826473,30000000,17008448073
2023-03-21 00:00:59 UTC,16872317,20820719,30000000,16842115798
2023-03-21 00:01:11 UTC,16872318,29973559,30000000,17659059326
2023-03-21 00:01:23 UTC,16872319,29422688,30000000,19862550715
2023-03-21 00:01:35 UTC,16872320,29987413,30000000,22249812147
2023-03-21 00:01:47 UTC,16872321,13844838,30000000,25028704845
2023-03-21 00:01:59 UTC,16872322,16272096,30000000,24787769773
2023-03-21 00:02:11 UTC,16872323,16761685,30000000,25050539962
2023-03-21 00:02:23 UTC,16872324,20722695,30000000,25418299632
2023-03-21 00:02:35 UTC,16872325,22204598,30000000,26630476100
2023-03-21 00:02:47 UTC,16872326,29977641,30000000,28229325057
2023-03-21 00:02:59 UTC,16872327,29988512,30000000,31752730860
2023-03-21 00:03:11 UTC,16872328,29956252,30000000,35718782422
2023-03-21 00:03:23 UTC,16872329,29983142,30000000,40170608347
2023-03-21 00:03:35 UTC,16872330,29984124,30000000,45186291089
2023-03-21 00:03:47 UTC,16872331,19302062,30000000,50828599328
2023-03-21 00:03:59 UTC,16872332,16263506,30000000,52650830875
2023-03-21 00:04:11 UTC,16872333,25904674,30000000,53205202880
2023-03-21 00:04:23 UTC,16872334,7842039,30000000,58040081150
2023-03-21 00:04:35 UTC,16872335,6968696,30000000,54578009173
2023-03-21 00:04:47 UTC,16872336,6877502,30000000,50925237645
2023-03-21 00:04:59 UTC,16872337,7317829,30000000,47478236471
2023-03-21 00:05:11 UTC,16872338,7334735,30000000,44438770377
2023-03-21 00:05:23 UTC,16872339,8415582,30000000,41600145784
2023-03-21 00:05:35 UTC,16872340,9745859,30000000,39317539545
2023-03-21 00:05:47 UTC,16872341,10699630,30000000,37596040408
2023-03-21 00:05:59 UTC,16872342,8173796,30000000,36248733039
2023-03-21 00:06:11 UTC,16872343,14502033,30000000,34186722652
2023-03-21 00:06:23 UTC,16872344,6510479,30000000,34044857155
2023-03-21 00:06:35 UTC,16872345,9887788,30000000,31636319408
2023-03-21 00:06:47 UTC,16872346,9334827,30000000,30288556311
2023-03-21 00:06:59 UTC,16872347,9225852,30000000,28858640383
2023-03-21 00:07:11 UTC,16872348,17554365,30000000,27470023211
2023-03-21 00:07:35 UTC,16872349,18663031,30000000,28054760426
2023-03-21 00:07:47 UTC,16872350,9870796,30000000,28911139235
2023-03-21 00:07:59 UTC,16872351,13135669,30000000,27675379810
2023-03-21 00:08:11 UTC,16872352,12900763,30000000,27245412573
2023-03-21 00:08:23 UTC,16872353,11280081,30000000,26768791089
2023-03-21 00:08:35 UTC,16872354,14316770,30000000,25938976635
2023-03-21 00:08:47 UTC,16872355,8336877,30000000,25791290910
2023-03-21 00:08:59 UTC,16872356,13401415,30000000,24359203047
2023-03-21 00:09:11 UTC,16872357,12927662,30000000,24034700909
2023-03-21 00:09:23 UTC,16872358,8236191,30000000,23619634043
2023-03-21 00:09:35 UTC,16872359,17411413,30000000,22288311599
2023-03-21 00:09:47 UTC,16872360,8549697,30000000,22736197635
2023-03-21 00:10:11 UTC,16872361,27297094,29970705,21514069604
2023-03-21 00:10:23 UTC,16872362,9212527,29999972,23723524496
2023-03-21 00:10:35 UTC,16872363,29998817,30000000,22579365717
2023-03-21 00:10:47 UTC,16872364,14120095,30000000,25401563836
2023-03-21 00:10:59 UTC,16872365,14074273,30000000,25215305811
2023-03-21 00:11:11 UTC,16872366,13099513,30000000,25020785066
2023-03-21 00:11:23 UTC,16872367,15342286,30000000,24624521094
2023-03-21 00:11:35 UTC,16872368,13709543,30000000,24694759667
2023-03-21 00:11:47 UTC,16872369,9515200,30000000,24429196955
2023-03-21 00:11:59 UTC,16872370,12225405,30000000,23312619793
2023-03-21 00:12:11 UTC,16872371,17304028,30000000,22773594141
2023-03-21 00:12:23 UTC,16872372,9233872,30000000,23210852462
2023-03-21 00:12:35 UTC,16872373,16467925,30000000,22095546243
2023-03-21 00:12:47 UTC,16872374,12789451,30000000,22365834615
2023-03-21 00:12:59 UTC,16872375,8159587,30000000,21953828171
2023-03-21 00:13:11 UTC,16872376,14267501,30000000,20702384408
2023-03-21 00:13:23 UTC,16872377,9296325,30000000,20576013776
2023-03-21 00:13:35 UTC,16872378,10100690,30000000,19598022982
2023-03-21 00:13:47 UTC,16872379,10818124,30000000,18797883066
2023-03-21 00:13:59 UTC,16872380,13489917,30000000,18142796266
2023-03-21 00:14:11 UTC,16872381,18025111,30000000,17914486865
2023-03-21 00:14:23 UTC,16872382,11506315,30000000,18366097792
2023-03-21 00:14:35 UTC,16872383,11203425,30000000,17831386456
2023-03-21 00:14:47 UTC,16872384,10754072,30000000,17267234823
2023-03-21 00:14:59 UTC,16872385,3949002,30000000,16656272858
2023-03-21 00:15:11 UTC,16872386,27420132,30000000,15122369208
2023-03-21 00:15:23 UTC,16872387,12199795,30000000,16687551055
2023-03-21 00:15:35 UTC,16872388,12885572,30000000,16298146356
2023-03-21 00:15:47 UTC,16872389,15834025,30000000,16010969215
2023-03-21 00:15:59 UTC,16872390,9924300,30000000,16122248786
2023-03-21 00:16:11 UTC,16872391,18002049,30000000,15440317968
2023-03-21 00:16:23 UTC,16872392,14160978,30000000,15826589560
2023-03-21 00:16:35 UTC,16872393,10141885,30000000,15715932420
2023-03-21 00:16:47 UTC,16872394,13414329,30000000,15079684029
2023-03-21 00:16:59 UTC,16872395,18167740,30000000,14880422216
2023-03-21 00:17:11 UTC,16872396,14229814,30000000,15273233121
2023-03-21 00:17:23 UTC,16872397,6031525,30000000,15175206202
2023-03-21 00:17:35 UTC,16872398,16806197,30000000,14041052390
2023-03-21 00:17:47 UTC,16872399,11904930,30000000,14252393279
2023-03-21 00:17:59 UTC,16872400,21670488,30000000,13884791989
2023-03-21 00:18:11 UTC,16872401,8663325,30000000,14656611475
2023-03-21 00:18:23 UTC,16872402,10971981,30000000,13882659946
2023-03-21 00:18:35 UTC,16872403,15917341,30000000,13416663130
2023-03-21 00:18:47 UTC,16872404,15643708,30000000,13519226923
2023-03-21 00:18:59 UTC,16872405,17931234,30000000,13591747210
2023-03-21 00:19:11 UTC,16872406,13412119,30000000,13923752139
2023-03-21 00:19:23 UTC,16872407,6439320,30000000,13739508294
2023-03-21 00:19:35 UTC,16872408,29908819,30000000,12759345512
2023-03-21 00:19:47 UTC,16872409,10133421,30000000,14344568618
2023-03-21 00:19:59 UTC,16872410,16229967,30000000,13762827148
2023-03-21 00:20:11 UTC,16872411,11205989,30000000,13903892341
2023-03-21 00:20:23 UTC,16872412,11752271,30000000,13464296337
2023-03-21 00:20:35 UTC,16872413,11694321,30000000,13099893124
2023-03-21 00:20:47 UTC,16872414,19265751,30000000,12739026111
2023-03-21 00:20:59 UTC,16872415,15141836,30000000,13191872055
2023-03-21 00:21:11 UTC,16872416,17938005,30000000,13207464408
2023-03-21 00:21:23 UTC,16872417,8829326,30000000,13530827711
2023-03-21 00:21:35 UTC,16872418,17076244,30000000,12835041655
2023-03-21 00:21:47 UTC,16872419,9608831,30000000,13057113973
2023-03-21 00:21:59 UTC,16872420,20070119,30000000,12470504739
2023-03-21 00:22:11 UTC,16872421,20548392,30000000,12997395930
2023-03-21 00:22:23 UTC,16872422,14555020,30000000,13598351326
2023-03-21 00:22:35 UTC,16872423,19484401,30000000,13547926373
2023-03-21 00:22:47 UTC,16872424,1144132,30000000,14054212494
2023-03-21 00:22:59 UTC,16872425,29961888,30000000,12431434885
2023-03-21 00:23:11 UTC,16872426,15659635,30000000,13981416021
2023-03-21 00:23:23 UTC,16872427,13249324,30000000,14058271282
