timestamp,number,gas_used,gas_limit,base_fee_per_gas
2023-06-01 00:00:11 UTC,17382266,23563256,30000000,21956894301
2023-06-01 00:00:23 UTC,17382267,23681954,30000000,23523748524
2023-06-01 00:00:35 UTC,17382268,14694963,30000000,25225682712
2023-06-01 00:00:47 UTC,17382269,18201329,30000000,25161559658
2023-06-01 00:00:59 UTC,17382270,15592100,30000000,25832813246
2023-06-01 00:01:11 UTC,17382271,16976305,30000000,25960276652
2023-06-01 00:01:23 UTC,17382272,11627604,30000000,26387821856
2023-06-01 00:01:35 UTC,17382273,12269796,30000000,25646236983
2023-06-01 00:01:47 UTC,17382274,13268203,30000000,25062741494
2023-06-01 00:01:59 UTC,17382275,19296702,30000000,24701044990
2023-06-01 00:02:11 UTC,17382276,12974991,30000000,25585486901
2023-06-01 00:02:23 UTC,17382277,16609200,30000000,25153729891
2023-06-01 00:02:35 UTC,17382278,18240627,30000000,25491041408
2023-06-01 00:02:47 UTC,17382279,12349723,30000000,26179432716
2023-06-01 00:02:59 UTC,17382280,14708190,30000000,25601243146
2023-06-01 00:03:11 UTC,17382281,16409440,30000000,25538987323
2023-06-01 00:03:23 UTC,17382282,20363263,30000000,25838951242
2023-06-01 00:03:35 UTC,17382283,10498834,30000000,26993793668
2023-06-01 00:03:47 UTC,17382284,14063978,30000000,25981264116
2023-06-01 00:03:59 UTC,17382285,11320110,30000000,25778605493
2023-06-01 00:04:11 UTC,17382286,16922179,30000000,24988085222
2023-06-01 00:04:23 UTC,17382287,17216981,30000000,25388348327
2023-06-01 00:04:35 UTC,17382288,8261811,30000000,25857394042
2023-06-01 00:04:47 UTC,17382289,13016999,30000000,24405460642
2023-06-01 00:04:59 UTC,17382290,16675610,30000000,24002160202
2023-06-01 00:05:11 UTC,17382291,20238543,30000000,24337312365
2023-06-01 00:05:23 UTC,17382292,8949653,30000000,25399746176
2023-06-01 00:05:35 UTC,17382293,16227127,30000000,24119102193
2023-06-01 00:05:47 UTC,17382294,14554250,30000000,24365745538
2023-06-01 00:05:59 UTC,17382295,12030990,30000000,24275236946
2023-06-01 00:06:11 UTC,17382296,29993294,30000000,23674625103
2023-06-01 00:06:23 UTC,17382297,21707016,30000000,26632630223
2023-06-01 00:06:35 UTC,17382298,9616844,30000000,28121175864
2023-06-01 00:06:47 UTC,17382299,17247111,30000000,26859670226
2023-06-01 00:06:59 UTC,17382300,8018974,30000000,27362642396
2023-06-01 00:07:11 UTC,17382301,11218373,30000000,25770814747
2023-06-01 00:07:23 UTC,17382302,16098794,30000000,24958684674
2023-06-01 00:07:35 UTC,17382303,11295325,30000000,25187221782
2023-06-01 00:07:47 UTC,17382304,14116356,30000000,24409634525
2023-06-01 00:07:59 UTC,17382305,19589944,30000000,24229889300
2023-06-01 00:08:11 UTC,17382306,25377906,30000000,25156671258
2023-06-01 00:08:23 UTC,17382307,20244366,30000000,27332284337
2023-06-01 00:08:35 UTC,17382308,15937054,30000000,28526788525
2023-06-01 00:08:47 UTC,17382309,10663931,30000000,28749548035
2023-06-01 00:08:59 UTC,17382310,14783537,30000000,27710714502
2023-06-01 00:09:11 UTC,17382311,14835801,30000000,27660728299
2023-06-01 00:09:23 UTC,17382312,12292326,30000000,27622879433
2023-06-01 00:09:35 UTC,17382313,8130723,30000000,26999598163
2023-06-01 00:09:47 UTC,17382314,10072396,30000000,25454033841
2023-06-01 00:09:59 UTC,17382315,12364664,30000000,24408805517
2023-06-01 00:10:11 UTC,17382316,18413048,30000000,23872760485
2023-06-01 00:10:23 UTC,17382317,26233766,30000000,24551751130
2023-06-01 00:10:35 UTC,17382318,16089357,30000000,26850156355
2023-06-01 00:10:47 UTC,17382319,10250839,30000000,27093901403
2023-06-01 00:10:59 UTC,17382320,13493659,30000000,26021623904
2023-06-01 00:11:11 UTC,17382321,13822123,30000000,25694978580
2023-06-01 00:11:23 UTC,17382322,19150924,30000000,25442765878
2023-06-01 00:11:35 UTC,17382323,13265020,30000000,26322857440
2023-06-01 00:11:47 UTC,17382324,19185089,30000000,25942277180
2023-06-01 00:11:59 UTC,17382325,14463860,30000000,26847033337
2023-06-01 00:12:11 UTC,17382326,15294490,30000000,26727085267
2023-06-01 00:12:23 UTC,17382327,11158457,30000000,26792675761
2023-06-01 00:12:35 UTC,17382328,13114849,30000000,25934965628
2023-06-01 00:12:47 UTC,17382329,17138525,30000000,25527537909
2023-06-01 00:12:59 UTC,17382330,10888844,30000000,25982465225
2023-06-01 00:13:11 UTC,17382331,14981534,30000000,25092315494
2023-06-01 00:13:23 UTC,17382332,10270580,30000000,25088454205
2023-06-01 00:13:35 UTC,17382333,13589600,30000000,24099672230
2023-06-01 00:13:47 UTC,17382334,29982402,30000000,23816420750
2023-06-01 00:13:59 UTC,17382335,8680092,30000000,26789980665
2023-06-01 00:14:11 UTC,17382336,12639331,30000000,25379062223
2023-06-01 00:14:23 UTC,17382337,11884348,30000000,24879799178
2023-06-01 00:14:35 UTC,17382338,11350960,30000000,24233825878
2023-06-01 00:14:47 UTC,17382339,12903464,30000000,23496907545
2023-06-01 00:14:59 UTC,17382340,13937706,30000000,23086389941
2023-06-01 00:15:11 UTC,17382341,19147819,30000000,22882018829
2023-06-01 00:15:23 UTC,17382342,14369290,30000000,23672939432
2023-06-01 00:15:35 UTC,17382343,14697537,30000000,23548516436
2023-06-01 00:15:47 UTC,17382344,11973808,30000000,23489161812
2023-06-01 00:15:59 UTC,17382345,17590287,30000000,22896805866
2023-06-01 00:16:11 UTC,17382346,21311379,30000000,23391050020
2023-06-01 00:16:23 UTC,17382347,9142784,30000000,24621298202
2023-06-01 00:16:35 UTC,17382348,13715066,30000000,23419529354
2023-06-01 00:16:47 UTC,17382349,12155394,30000000,23168758108
2023-06-01 00:16:59 UTC,17382350,12397645,30000000,22619541539
2023-06-01 00:17:11 UTC,17382351,14562667,30000000,22129007564
2023-06-01 00:17:23 UTC,17382352,16066625,30000000,22048359687
2023-06-01 00:17:35 UTC,17382353,16120832,30000000,22244337450
2023-06-01 00:17:47 UTC,17382354,20438324,30000000,22452105493
2023-06-01 00:17:59 UTC,17382355,16207266,30000000,23469620694
2023-06-01 00:18:11 UTC,17382356,15914007,30000000,23705737986
2023-06-01 00:18:23 UTC,17382357,10772059,30000000,23886298073
2023-06-01 00:18:35 UTC,17382358,16274697,30000000,23044715915
2023-06-01 00:18:47 UTC,17382359,10553813,30000000,23289507833
2023-06-01 00:18:59 UTC,17382360,14638476,30000000,22426595275
2023-06-01 00:19:11 UTC,17382361,12919101,30000000,22359030672
2023-06-01 00:19:23 UTC,17382362,14793628,30000000,21971306634
2023-06-01 00:19:35 UTC,17382363,29984697,30000000,21933521114
2023-06-01 00:19:47 UTC,17382364,15106429,30000000,24672414180
2023-06-01 00:19:59 UTC,17382365,16398323,30000000,24694296349
2023-06-01 00:20:11 UTC,17382366,12140140,30000000,24982051370
2023-06-01 00:20:23 UTC,17382367,11820248,30000000,24386674959
2023-06-01 00:20:35 UTC,17382368,14341417,30000000,23740478472
2023-06-01 00:20:47 UTC,17382369,11359613,30000000,23610186176
2023-06-01 00:20:59 UTC,17382370,23471252,30000000,22893934386
2023-06-01 00:21:11 UTC,17382371,10465090,30000000,24510103448
2023-06-01 00:21:23 UTC,17382372,14441809,30000000,23583844172
2023-06-01 00:21:35 UTC,17382373,14017207,30000000,23474141759
2023-06-01 00:21:47 UTC,17382374,27863540,30000000,23281889908
2023-06-01 00:21:59 UTC,17382375,12500682,30000000,25777619258
2023-06-01 00:22:11 UTC,17382376,12736189,30000000,25240732027
2023-06-01 00:22:23 UTC,17382377,16326751,30000000,24764563304
2023-06-01 00:22:47 UTC,17382378,26333808,30000000,25038366713
2023-06-01 00:22:59 UTC,17382379,9352792,30000000,27403200387
2023-06-01 00:23:11 UTC,17382380,17080679,30000000,26113603950
2023-06-01 00:23:23 UTC,17382381,12675592,30000000,26566387511
2023-06-01 00:23:35 UTC,17382382,16988602,30000000,26051794814
2023-06-01 00:23:47 UTC,17382383,10780719,30000000,26483516907
2023-06-01 00:23:59 UTC,17382384,14459377,30000000,25552338577
2023-06-01 00:24:11 UTC,17382385,12707237,30000000,25437220395
2023-06-01 00:24:23 UTC,17382386,21690621,30000000,24951207748
2023-06-01 00:24:35 UTC,17382387,11146502,30000000,26342366702
2023-06-01 00:24:47 UTC,17382388,12721177,30000000,25496447891
2023-06-01 00:24:59 UTC,17382389,10313949,30000000,25012265459
2023-06-01 00:25:11 UTC,17382390,23847897,30000000,24035525863
2023-06-01 00:25:23 UTC,17382391,16201970,30000000,25807724672
2023-06-01 00:25:35 UTC,17382392,11346716,30000000,26066225595
2023-06-01 00:25:47 UTC,17382393,10751670,30000000,25272664555
2023-06-01 00:25:59 UTC,17382394,22278246,30000000,24377942730
2023-06-01 00:26:11 UTC,17382395,15426618,30000000,25856514931
2023-06-01 00:26:23 UTC,17382396,13453330,30000000,25948438720
2023-06-01 00:26:35 UTC,17382397,12663065,30000000,25613991456
2023-06-01 00:26:47 UTC,17382398,11068138,30000000,25115172847
